Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.743 %	0.80768 %	0.836452 %	0.8463867 %	|	0.9842 %	0.9851 %	0.97698 %	0.9851 %	0.977 %	0.962728 %	306178.7223815918
6000	64	256	|	64	-1	squared_l2
0.748 %	0.81473 %	0.848039 %	0.8665792 %	|	0.995 %	0.9959 %	0.99324 %	0.9959 %	0.99326 %	0.987557 %	572581.0766220093
6000	64	256	|	128	-1	squared_l2
0.7501 %	0.81701 %	0.851907 %	0.8741397 %	|	0.9983 %	0.9992 %	0.9985 %	0.9992 %	0.99852 %	0.997023 %	1084278.3451080322
6000	64	256	|	256	-1	squared_l2
0.7502 %	0.81751 %	0.852804 %	0.8762832 %	|	0.9989 %	0.9999 %	0.99973 %	0.9999 %	0.99975 %	0.999456 %	2059143.1379318237
6000	64	256	|	320	-1	squared_l2
0.7502 %	0.81754 %	0.852898 %	0.8765181 %	|	0.9989 %	0.9999 %	0.99982 %	0.9999 %	0.99984 %	0.999712 %	2534327.621459961
6000	64	256	|	384	-1	squared_l2
0.7502 %	0.81757 %	0.852947 %	0.8766294 %	|	0.999 %	1.0 %	0.9999 %	1.0 %	0.99992 %	0.999842 %	3011051.7597198486
6000	64	256	|	448	-1	squared_l2
0.7502 %	0.81758 %	0.852968 %	0.8766916 %	|	0.999 %	1.0 %	0.99992 %	1.0 %	0.99994 %	0.999907 %	3475364.909172058
6000	64	256	|	512	-1	squared_l2
0.7502 %	0.8176 %	0.852981 %	0.8767259 %	|	0.999 %	1.0 %	0.99995 %	1.0 %	0.99997 %	0.999944 %	3946011.76738739
6000	64	256	|	576	-1	squared_l2
0.7502 %	0.81761 %	0.852985 %	0.8767449 %	|	0.999 %	1.0 %	0.99996 %	1.0 %	0.99998 %	0.999963 %	4407906.804084778
6000	64	256	|	640	-1	squared_l2
0.7502 %	0.81761 %	0.852992 %	0.8767559 %	|	0.999 %	1.0 %	0.99997 %	1.0 %	0.99999 %	0.999981 %	4873374.013900757
6000	64	256	|	704	-1	squared_l2
0.7502 %	0.81761 %	0.852995 %	0.8767642 %	|	0.999 %	1.0 %	0.99997 %	1.0 %	0.99999 %	0.999987 %	5345826.106071472
6000	64	256	|	768	-1	squared_l2
0.7502 %	0.81762 %	0.852996 %	0.8767701 %	|	0.999 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999988 %	5829276.247024536
6000	64	256	|	1024	-1	squared_l2
0.7502 %	0.81762 %	0.852999 %	0.8767779 %	|	0.999 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999998 %	7581168.8232421875
6000	64	256	|	1280	-1	squared_l2
0.7502 %	0.81762 %	0.853 %	0.8767797 %	|	0.999 %	1.0 %	0.99998 %	1.0 %	1.0 %	1.0 %	-1
6000	64	256	|	1536	-1	squared_l2
0.7502 %	0.81762 %	0.853 %	0.87678 %	|	0.999 %	1.0 %	0.99998 %	1.0 %	1.0 %	1.0 %	-1
6000	64	256	|	2048	-1	squared_l2
0.7502 %	0.81762 %	0.853 %	0.8767805 %	|	0.999 %	1.0 %	0.99998 %	1.0 %	1.0 %	1.0 %	-1
6000	32	256	|	1	-1	squared_l2
0.3062 %	0.35631 %	0.347422 %	0.3129501 %	|	0.4727 %	0.4786 %	0.4366 %	0.4786 %	0.43712 %	0.388748 %	19314.680099487305
6000	32	256	|	16	-1	squared_l2
0.4955 %	0.60882 %	0.656809 %	0.6852099 %	|	0.9192 %	0.9566 %	0.93286 %	0.9566 %	0.93804 %	0.91038 %	97577.43835449219
6000	32	256	|	32	-1	squared_l2
0.5031 %	0.61908 %	0.673853 %	0.7128824 %	|	0.9425 %	0.9851 %	0.97052 %	0.9851 %	0.977 %	0.961666 %	174782.13787078857
6000	32	256	|	64	-1	squared_l2
0.5042 %	0.62272 %	0.680588 %	0.7252933 %	|	0.9502 %	0.9959 %	0.9857 %	0.9959 %	0.99326 %	0.986106 %	323087.57305145264
6000	32	256	|	128	-1	squared_l2
0.5045 %	0.62359 %	0.682764 %	0.7297986 %	|	0.9525 %	0.9991 %	0.99056 %	0.9992 %	0.99852 %	0.995301 %	608781.1088562012
6000	32	256	|	256	-1	squared_l2
0.5045 %	0.6238 %	0.683229 %	0.7309776 %	|	0.9527 %	0.9998 %	0.99162 %	0.9999 %	0.99975 %	0.997636 %	1143808.4506988525
6000	32	256	|	320	-1	squared_l2
0.5045 %	0.62381 %	0.683262 %	0.7311044 %	|	0.9527 %	0.9998 %	0.99171 %	0.9999 %	0.99984 %	0.997868 %	1408875.207901001
6000	32	256	|	384	-1	squared_l2
0.5045 %	0.62381 %	0.683282 %	0.7311613 %	|	0.9527 %	0.9999 %	0.99179 %	1.0 %	0.99992 %	0.99799 %	1671798.038482666
6000	32	256	|	448	-1	squared_l2
0.5045 %	0.62381 %	0.683292 %	0.7311899 %	|	0.9527 %	0.9999 %	0.9918 %	1.0 %	0.99994 %	0.998051 %	1934880.4950714111
6000	32	256	|	512	-1	squared_l2
0.5045 %	0.62382 %	0.683297 %	0.7312026 %	|	0.9527 %	0.9999 %	0.99182 %	1.0 %	0.99997 %	0.998081 %	2210182.0182800293
6000	32	256	|	576	-1	squared_l2
0.5045 %	0.62383 %	0.683299 %	0.7312128 %	|	0.9527 %	0.9999 %	0.99183 %	1.0 %	0.99998 %	0.998097 %	2470836.7252349854
6000	32	256	|	640	-1	squared_l2
